Title,Platforms,Date,Developers
Rocksmith: All-new 2014 Edition - Remastered,Microsoft Windows,"October 4, 2016","Ubisoft San Francisco, Red Storm Entertainment, Longtail Studios"
Rocksmith: All-new 2014 Edition - Remastered,PlayStation 4,"October 4, 2016","Ubisoft San Francisco, Red Storm Entertainment, Longtail Studios"
Rocksmith: All-new 2014 Edition - Remastered,Xbox One,"October 4, 2016","Ubisoft San Francisco, Red Storm Entertainment, Longtail Studios"
Face Up: The Selfie Game,Android,"September 28, 2016",Ubisoft Montreal
Face Up: The Selfie Game,iOS,"September 28, 2016",Ubisoft Montreal
NCIS: Hidden Crimes,iOS,"September 15, 2016",Ubisoft Abu Dhabi
Rabbids Crazy Rush,Android,"September 12, 2016",Ubisoft Chengdu
Rabbids Crazy Rush,iOS,"September 12, 2016",Ubisoft Chengdu
Just Sing,PlayStation 4,"September 8, 2016",Inis Corporation
Just Sing,Xbox One,"September 8, 2016",Inis Corporation
Champions of Anteria,Microsoft Windows,"August 30, 2016",Blue Byte
Grow Up,Microsoft Windows,"August 16, 2016",Ubisoft Reflections
Grow Up,PlayStation 4,"August 16, 2016",Ubisoft Reflections
Grow Up,Xbox One,"August 16, 2016",Ubisoft Reflections
Uno,PlayStation 4,"August 16, 2016",Ubisoft Chengdu
Uno,Xbox One,"August 16, 2016",Ubisoft Chengdu
Battleship,PlayStation 4,"August 2, 2016",Frima Studio
Battleship,Xbox One,"August 2, 2016",Frima Studio
Risk: Urban Assault,PlayStation 3,"August 2, 2016",Zoë Mode
Risk: Urban Assault,PlayStation 4,"August 2, 2016",Zoë Mode
Risk: Urban Assault,Xbox 360,"August 2, 2016",Zoë Mode
Risk: Urban Assault,Xbox One,"August 2, 2016",Zoë Mode
NCIS: Hidden Crimes,Android,"July 11, 2016",Ubisoft Abu Dhabi
Trials of the Blood Dragon,Microsoft Windows,"June 13, 2016",RedLynx
Trials of the Blood Dragon,PlayStation 4,"June 13, 2016",RedLynx
Trials of the Blood Dragon,Xbox One,"June 13, 2016",RedLynx
Assassin's Creed Identity,Android,"May 18, 2016",Blue Byte
Rock Gods: Tap Tour,Android,"May 16, 2016",Ubisoft Halifax
Rock Gods: Tap Tour,iOS,"May 16, 2016",Ubisoft Halifax
Hungry Shark: World,iOS,"May 4, 2016",Future Games of London
The Smurfs: Epic Run,TvOS,"April 20, 2016",Ubisoft Paris Mobile
TrackMania Turbo,Microsoft Windows,"March 22, 2016","Nadeo, Encore"
TrackMania Turbo,PlayStation 4,"March 22, 2016","Nadeo, Encore"
TrackMania Turbo,Xbox One,"March 22, 2016","Nadeo, Encore"
Rayman,Android,"March 17, 2016",Ubisoft Paris
Rabbids Appisodes,Android,"March 9, 2016","Ubisoft Paris Mobile, Ubisoft Pune"
Tom Clancy's The Division,Microsoft Windows,"March 8, 2016","Massive Entertainment, Red Storm Entertainment, Ubisoft Annecy, Ubisoft Leamington, Ubisoft Reflections"
Tom Clancy's The Division,PlayStation 4,"March 8, 2016","Massive Entertainment, Red Storm Entertainment, Ubisoft Annecy, Ubisoft Leamington, Ubisoft Reflections"
Tom Clancy's The Division,Xbox One,"March 8, 2016","Massive Entertainment, Red Storm Entertainment, Ubisoft Annecy, Ubisoft Leamington, Ubisoft Reflections"
Far Cry Primal,Microsoft Windows,"March 1, 2016","Ubisoft Montreal, Ubisoft Kyiv, Ubisoft Shanghai, Ubisoft Toronto"
Assassin's Creed Identity,iOS,"February 26, 2016",Blue Byte
Far Cry Primal,PlayStation 4,"February 23, 2016","Ubisoft Montreal, Ubisoft Kyiv, Ubisoft Shanghai, Ubisoft Toronto"
Far Cry Primal,Xbox One,"February 23, 2016","Ubisoft Montreal, Ubisoft Kyiv, Ubisoft Shanghai, Ubisoft Toronto"
Rayman,iOS,"February 18, 2016",Ubisoft Paris
Assassin's Creed Chronicles: Russia,Microsoft Windows,"February 9, 2016","Climax Studios, Ubisoft Barcelona"
Assassin's Creed Chronicles: Russia,PlayStation 4,"February 9, 2016","Climax Studios, Ubisoft Barcelona"
Assassin's Creed Chronicles: Russia,Xbox One,"February 9, 2016","Climax Studios, Ubisoft Barcelona"
Sandstorm: Pirate Wars,Android,"January 21, 2016",Ubisoft Barcelona Mobile
Sandstorm: Pirate Wars,iOS,"January 21, 2016",Ubisoft Barcelona Mobile
Assassin's Creed Chronicles: India,Microsoft Windows,"January 13, 2016","Climax Studios, Ubisoft Barcelona"
Assassin's Creed Chronicles: India,PlayStation 4,"January 13, 2016","Climax Studios, Ubisoft Barcelona"
Assassin's Creed Chronicles: India,Xbox One,"January 13, 2016","Climax Studios, Ubisoft Barcelona"
The Smurfs: Epic Run,Android,"January 12, 2016",Ubisoft Paris Mobile
The Smurfs: Epic Run,iOS,"January 12, 2016",Ubisoft Paris Mobile
Just Dance Now,TvOS,"December 10, 2015","Massive Entertainment, Ubisoft Milan"
Tetris Ultimate,Microsoft Windows,"December 10, 2015",SoMa Play
Rayman Adventures,Android,"December 5, 2015","Ubisoft Montpellier, Ubisoft Casablanca"
