,Publisher,Ticker,Title,Date,Platforms,Developers
73,Electronic Arts,EA,Unravel,"2016, 2, 9","PlayStation 4, Windows, Xbox One",Coldwood Interactive
74,Electronic Arts,EA,Unravel Two,"2019, 3, 22","Nintendo Switch, PlayStation 4, Windows, Xbox One",Coldwood Interactive
0,Nintendo,NTDOY,Bayonetta,"2018, 2, 16",Nintendo Switch,PlatinumGames
1,Nintendo,NTDOY,Bayonetta 2,"2018, 2, 16",Nintendo Switch,PlatinumGames
2,Nintendo,NTDOY,Luigi's Mansion 3,"2019, 10, 31",Nintendo Switch,Next Level Games
3,Nintendo,NTDOY,Octopath Traveler,"2018, 7, 13",Nintendo Switch,"Square Enix
Acquire"
4,Nintendo,NTDOY,Paper Mario: The Origami King,"2020, 7, 17",Nintendo Switch,Intelligent Systems
5,Nintendo,NTDOY,Splatoon 2,"2017, 7, 21",Nintendo Switch,Nintendo EPD
6,Nintendo,NTDOY,Super Mario Odyssey,"2017, 10, 27",Nintendo Switch,Nintendo EPD
7,Nintendo,NTDOY,Super Mario Party,"2018, 10, 5",Nintendo Switch,NDcube
8,Nintendo,NTDOY,Super Smash Bros. Ultimate,"2018, 12, 7",Nintendo Switch,"Sora Ltd.
Bandai Namco Studios"
9,Nintendo,NTDOY,The Legend of Zelda: Breath of the Wild,"2017, 3, 3",Nintendo Switch,Nintendo EPD
10,Nintendo,NTDOY,The Legend of Zelda: Link's Awakening,"2019, 9, 20",Nintendo Switch,Grezzo
